599,Brown Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Brown, Price_1K to 2K, Sale, Style_Men Shirt"
591,Black Rickshaw Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt"
587,Yellow Taxi Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt"
583,Triangular Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt"
579,Olive Green Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Olive Green, Price_1K to 2K, Sale, Style_Men Shirt"
575,Light Blue Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Style_Men Shirt"
571,Dark Blue Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Dark Blue, Price_1K to 2K, Sale, Style_Men Shirt"
567,Peanut Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Peanut, Price_1K to 2K, Sale, Style_Men Shirt"
563,Deer Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Ash, Price_1K to 2K, Style_Men Shirt"
555,Yellow Cotton Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Yellow, Price_1K to 2K, Sale, Style_Men Shirt"
529,Tawa Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round Neck, Price_1K to 2K, Sale, Style_Round Neck Comfort Fit"
523,Ponniayar Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round Neck, Price_1K to 2K, Sale, Style_Round Neck Comfort Fit"
517,Indryani Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_Pink, Neck Type_V Neck, Price_1K to 2K, Sale"
511,Mahi Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_V Neck, Price_1K to 2K, Sale"
505,Bheema Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Broad Pants, Style_Kaftan"
493,Kali Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Dark Brown, Color_Purple, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar"
487,Indus Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Green, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar"
481,Noyyal Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Color_Silver, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar"
475,Venna Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Neck Type_V Neck, Price_1K to 2K, Style_V Neck With Collar"
277,Suru Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
271,Damodar Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
265,Yamuna Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
259,Subarnarekha Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
253,Wardha Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit"
247,Zanskar Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Maroon, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit"
552,Ganga dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Price_1K to 2K, Style_Kota Doriya"
241,Gomti Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit"
551,Krishna dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Price_1K to 2K, Sale, Style_Kota Doriya"
550,Palar dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Color_Orange, Price_1K to 2K, Sale, Style_Kota Doriya"
235,Ganga Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Yellow, Neck Type_V Neck, Price_1K to 2K, Style_A Line"
548,Pranhita dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Sale, Style_Kota Doriya"
547,Kolar dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Sale, Style_Kota Doriya"
229,Palar Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_A Line"
223,Ravi Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_Pink, Neck Type_Round Neck Slit, Price_1K to 2K, Style_A Line"
545,Mandovi dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Blue, Price_1K to 2K, Style_Kota Doriya"
544,Pavana dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Price_1K to 2K, Sale, Style_Kota Doriya"
543,Hoogly dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_1K to 2K, Sale, Style_Kota Doriya"
217,Gomai Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_A Line"
542,Vaighai dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_1K to 2K, Style_Kota Doriya"
211,Tungabhadra Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line"
538,Chaliyar Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Price_1K to 2K, Sale, Style_Kota Doriya"
205,Pamba Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line"
537,Bhagirathi dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_1K to 2K, Sale, Style_Kota Doriya"
536,Betwa dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Price_1K to 2K, Sale, Style_Kota Doriya"
199,Pranhita Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line"
193,Ulhas Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
187,Kolar Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Teal Blue, Neck Type_Round, Price_1K to 2K, Style_Straight Cut"
181,Amravati kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut"
469,Pranhita pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Price_0K-1K, Sale, Style_Cigarette Pant"
463,Chenab pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Broad Pant"
457,Ganga pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Style_Cigarette Pant"
451,Gomai pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant"
445,Sutlej pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Green, Color_White, Price_0K-1K, Style_Broad Pant"
439,Bhagirathi pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant"
433,Tapti pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_0K-1K, Sale, Style_Cigarette Pant"
427,Betwa pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant"
421,Manjira palazzo,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Palazzo"
415,Hoogly pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_0K-1K, Sale, Style_Broad Pant"
397,Hemavati palazzo,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_White, Price_0K-1K, Sale, Style_Palazzo"
391,Kaveri pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_Yellow, Price_0K-1K, Sale, Style_Broad Pant"
385,Vaighai pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_0K-1K, Sale, Style_Cigarette Pant"
373,Doda pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Brown, Price_0k-1K, Sale, Style_Cigarette Pant"
175,Penner kurti,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_White, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short"
