Handle,Title,Custom Product Type,Tags,Variant SKU
green-car-cotton-shirt,Green Car Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt",607
buta-cotton-shirt,Buta Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Green, Price_1K to 2K, Sale, Style_Men Shirt",603
brown-cotton-shirt,Brown Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Brown, Price_1K to 2K, Sale, Style_Men Shirt",599
black-rickshaw-cotton-shirt,Black Rickshaw Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt",591
yellow-taxi-cotton-shirt,Yellow Taxi Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt",587
triangular-cotton-shirt,Triangular Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_White, Price_1K to 2K, Sale, Style_Men Shirt",583
olive-green-cotton-shirt,Olive Green Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Olive Green, Price_1K to 2K, Sale, Style_Men Shirt",579
light-blue-cotton-shirt,Light Blue Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Style_Men Shirt",575
dark-blue-cotton-shirt,Dark Blue Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Dark Blue, Price_1K to 2K, Sale, Style_Men Shirt",571
peanut-cotton-shirt,Peanut Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Peanut, Price_1K to 2K, Sale, Style_Men Shirt",567
deer-cotton-shirt,Deer Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Ash, Price_1K to 2K, Style_Men Shirt",563
yellow-cotton-shirt,Yellow Cotton Shirt,Shirt,"Category_Men, Category_Shirt, Collection_Nadiyan Kinare, Color_Yellow, Price_1K to 2K, Sale, Style_Men Shirt",555
tawa-lounge-wear,Tawa Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round Neck, Price_1K to 2K, Sale, Style_Round Neck Comfort Fit",529
ponniayar-lounge-wear,Ponniayar Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round Neck, Price_1K to 2K, Sale, Style_Round Neck Comfort Fit",523
indryani-lounge-wear,Indryani Lounge Wear,Lounge wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_Pink, Neck Type_V Neck, Price_1K to 2K, Sale",517
mahi-lounge-wear,Mahi Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_V Neck, Price_1K to 2K, Sale",511
bheema-lounge-wear,Bheema Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Broad Pants, Style_Kaftan",505
kali-lounge-wear,Kali Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Dark Brown, Color_Purple, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar",493
indus-lounge-wear,Indus Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Green, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar",487
noyyal-lounge-wear,Noyyal Lounge Wear,Lounge Wear,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Color_Silver, Neck Type_V Neck, Price_1K to 2K, Sale, Style_V Neck With Collar",481
venna-lounge-wear,Venna Lounge Wear,,"Category_Lounge Wear, Category_Women, Collection_Nadiyan Kinare, Neck Type_V Neck, Price_1K to 2K, Style_V Neck With Collar",475
suru-kurta,Suru Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",277
damodar-kurta,Damodar Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Skin, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",271
yamuna-kurta,Yamuna Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",265
subarnarekha-kurta,Subarnarekha Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",259
wardha-kurta,Wardha Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit",253
zanskar-kurta,Zanskar Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Maroon, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit",247
ganga-dupatta,Ganga dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Price_1K to 2K, Style_Kota Doriya",552
gomti-kurta,Gomti Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line, Style_Front Slit",241
krishna-dupatta,Krishna dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Price_1K to 2K, Sale, Style_Kota Doriya",551
palar-dupatta,Palar dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Color_Orange, Price_1K to 2K, Sale, Style_Kota Doriya",550
ganga-kurta,Ganga Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Yellow, Neck Type_V Neck, Price_1K to 2K, Style_A Line",235
pranhita-dupatta,Pranhita dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Sale, Style_Kota Doriya",548
kolar-dupatta,Kolar dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Light Blue, Price_1K to 2K, Sale, Style_Kota Doriya",547
palar-kurta,Palar Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_A Line",229
ravi-kurta,Ravi Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_Pink, Neck Type_Round Neck Slit, Price_1K to 2K, Style_A Line",223
